 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 1.66752170771360E-0002  1.77507071699912E+0000  4.30632192815163E+0000  1.77507071699912E+0000  4.30632192815163E+0000  1.77507071699912E+0000  4.30632192815163E+0000
 1.82752385735512E-0002  1.61687775319389E+0000  2.95161848204306E+0000  1.61687775319389E+0000  2.95161848204306E+0000  1.61687775319389E+0000  2.95161848204306E+0000
 1.98752600699663E-0002  1.74807616213747E+0000  1.17772116754573E+0001  1.74807616213747E+0000  1.17772116754573E+0001  1.74807616213747E+0000  1.17772116754573E+0001
 2.14752797037363E-0002  1.63723362019128E+0000  3.56438729490617E+0000  1.63723362019128E+0000  3.56438729490617E+0000  1.63723362019128E+0000  3.56438729490617E+0000
 2.30753012001514E-0002  1.26699021653703E+0000  4.69319758340794E+0000  1.26699021653703E+0000  4.69319758340794E+0000  1.26699021653703E+0000  4.69319758340794E+0000
 2.46753226965666E-0002  1.28483339597298E+0000  6.87583021627807E+0000  1.28483339597298E+0000  6.87583021627807E+0000  1.28483339597298E+0000  6.87583021627807E+0000
 2.62753423303366E-0002  1.52826950803495E+0000  6.56687181331246E+0000  1.52826950803495E+0000  6.56687181331246E+0000  1.52826950803495E+0000  6.56687181331246E+0000
 2.78753638267517E-0002  1.46669664845982E+0000  5.55673344576681E+0000  1.46669664845982E+0000  5.55673344576681E+0000  1.46669664845982E+0000  5.55673344576681E+0000
 2.94753853231668E-0002  1.33288583193318E+0000  4.87858624601830E+0000  1.33288583193318E+0000  4.87858624601830E+0000  1.33288583193318E+0000  4.87858624601830E+0000
 3.10754049569368E-0002  1.65522842901368E+0000  1.09493092422820E+0001  1.65522842901368E+0000  1.09493092422820E+0001  1.65522842901368E+0000  1.09493092422820E+0001
 3.34754362702370E-0002  1.55423610017359E+0000  8.32574070497327E+0000  1.55423610017359E+0000  8.32574070497327E+0000  1.55423610017359E+0000  8.32574070497327E+0000
 3.66754792630672E-0002  1.46329894080074E+0000  7.92982586595297E+0000  1.46329894080074E+0000  7.92982586595297E+0000  1.46329894080074E+0000  7.92982586595297E+0000
 3.98755185306072E-0002  1.39507881865310E+0000  9.32434915736683E+0000  1.39507881865310E+0000  9.32434915736683E+0000  1.39507881865310E+0000  9.32434915736683E+0000
 4.30755615234375E-0002  1.55706814886375E+0000  4.74341392558269E+0000  1.55706814886375E+0000  4.74341392558269E+0000  1.55706814886375E+0000  4.74341392558269E+0000
